Operation, num1, num2, entity1, entity2, raw_cost, v1_cost, v2_cost, unmatch_cost, Entity_type, change?
ns,84,85,public  BuildNativeFrameVisitor.BuildNativeFrameVisitor( BuildNativeFrameVisitor & ),public  BuildNativeFrameVisitor.BuildNativeFrameVisitor( BuildNativeFrameVisitor & ),0,0,0,104,Method,0
ns,85,86,public  BuildNativeFrameVisitor.BuildNativeFrameVisitor( ProblemType * ProblemType * double * double * ),public  BuildNativeFrameVisitor.BuildNativeFrameVisitor( ProblemType * ProblemType * double * double * ),0,10,0,86,Method,0
ns,86,87,private ProblemType BuildNativeFrameVisitor.mCx,private ProblemType BuildNativeFrameVisitor.mCx,0,0,0,87,Field,0
ns,87,88,private ProblemType BuildNativeFrameVisitor.mTypeMap,private ProblemType BuildNativeFrameVisitor.mTypeMap,0,0,10,86,Field,0
ns,88,89,private double BuildNativeFrameVisitor.mGlobal,private double BuildNativeFrameVisitor.mGlobal,0,10,10,101,Field,0
ns,89,90,private double BuildNativeFrameVisitor.mStack,private double BuildNativeFrameVisitor.mStack,0,10,0,103,Field,0
ns,90,91,public void BuildNativeFrameVisitor.visitGlobalSlot( ProblemType * unsigned int int unsigned int int ),public void BuildNativeFrameVisitor.visitGlobalSlot( ProblemType * unsigned int int unsigned int int ),0,0,10,86,Method,0
ns,91,92,public bool BuildNativeFrameVisitor.visitStackSlots( ProblemType * int ProblemType * ),public bool BuildNativeFrameVisitor.visitStackSlots( ProblemType * int ProblemType * ),0,10,10,118,Method,0
ns,92,93,CSSPropertyAlias,CSSPropertyAlias,0,10,10,152,Class,0
ns,93,94,public  CSSPropertyAlias.CSSPropertyAlias( CSSPropertyAlias & ),public  CSSPropertyAlias.CSSPropertyAlias( CSSPropertyAlias & ),0,10,0,86,Method,0
ns,94,95,public  CSSPropertyAlias.CSSPropertyAlias( void ),public  CSSPropertyAlias.CSSPropertyAlias( void ),0,0,0,87,Method,0
ns,95,96,public static final ProblemType CSSPropertyAlias.id,public static final ProblemType CSSPropertyAlias.id,0,0,10,86,Field,0
ns,96,97,public char CSSPropertyAlias.name,public char CSSPropertyAlias.name,0,10,10,101,Field,0
ns,97,98,CSSPropertyAlias.gAliases,CSSPropertyAlias.gAliases,0,10,0,86,Class,0
ns,98,99,CaptureTypesVisitor,CaptureTypesVisitor,0,0,10,256,Class,0
ns,99,100,public  CaptureTypesVisitor.CaptureTypesVisitor( CaptureTypesVisitor & ),public  CaptureTypesVisitor.CaptureTypesVisitor( CaptureTypesVisitor & ),0,10,0,86,Method,0
ns,100,101,public ProblemType CaptureTypesVisitor.CaptureTypesVisitor( ProblemType * ProblemType * ),public ProblemType CaptureTypesVisitor.CaptureTypesVisitor( ProblemType * ProblemType * ),0,0,0,87,Method,0
ns,101,102,public  CaptureTypesVisitor.CaptureTypesVisitor( void ),public  CaptureTypesVisitor.CaptureTypesVisitor( void ),0,0,0,87,Method,0
ns,102,103,private ProblemType CaptureTypesVisitor.mCx,private ProblemType CaptureTypesVisitor.mCx,0,0,0,87,Field,0
ns,103,104,private ProblemType CaptureTypesVisitor.mPtr,private ProblemType CaptureTypesVisitor.mPtr,0,0,0,87,Field,0
ns,104,105,private ProblemType CaptureTypesVisitor.mTypeMap,private ProblemType CaptureTypesVisitor.mTypeMap,0,0,0,87,Field,0
ns,105,106,public unsigned int CaptureTypesVisitor.length( ),public unsigned int CaptureTypesVisitor.length( ),0,0,0,87,Method,0
ns,106,107,public void CaptureTypesVisitor.visitGlobalSlot( ProblemType * unsigned int int unsigned int int ),public void CaptureTypesVisitor.visitGlobalSlot( ProblemType * unsigned int int unsigned int int ),0,0,0,87,Method,0
ns,107,108,public bool CaptureTypesVisitor.visitStackSlots( ProblemType * int ProblemType * ),public bool CaptureTypesVisitor.visitStackSlots( ProblemType * int ProblemType * ),0,0,0,121,Method,0
ns,108,109,CheckEntryTypeVisitor,CheckEntryTypeVisitor,0,0,10,239,Class,0
ns,109,110,public  CheckEntryTypeVisitor.CheckEntryTypeVisitor( CheckEntryTypeVisitor & ),public  CheckEntryTypeVisitor.CheckEntryTypeVisitor( CheckEntryTypeVisitor & ),0,10,0,86,Method,0
ns,110,111,public  CheckEntryTypeVisitor.CheckEntryTypeVisitor( ProblemType * ),public  CheckEntryTypeVisitor.CheckEntryTypeVisitor( ProblemType * ),0,0,0,87,Method,0
ns,111,112,private ProblemType CheckEntryTypeVisitor.mTypeMap,private ProblemType CheckEntryTypeVisitor.mTypeMap,0,0,10,86,Field,0
ns,112,113,private bool CheckEntryTypeVisitor.mOk,private bool CheckEntryTypeVisitor.mOk,0,10,20,100,Field,0
ns,113,114,public void CheckEntryTypeVisitor.checkSlot( ProblemType * char * int ),public void CheckEntryTypeVisitor.checkSlot( ProblemType * char * int ),0,20,0,101,Method,0
