"class","category"
DummyForGlobalFunctions.AlreadyHasOwnPropertyHelper(ProblemType *,ProblemType *,ProblemType,ProblemType *),"Method"
DummyForGlobalFunctions.And(),"Method"
DummyForGlobalFunctions.AppUnitsPerDevPixel(),"Method"
DummyForGlobalFunctions.AppUnitsToDevPixels(),"Method"
DummyForGlobalFunctions.AppUnitsToGfxUnits(),"Method"
DummyForGlobalFunctions.Append(),"Method"
DummyForGlobalFunctions.AppendElement(),"Method"
DummyForGlobalFunctions.AppendFloats(),"Method"
DummyForGlobalFunctions.AppendFrame(),"Method"
DummyForGlobalFunctions.AppendFrames(),"Method"
DummyForGlobalFunctions.AppendInt(),"Method"
DummyForGlobalFunctions.AppendLiteral(),"Method"
DummyForGlobalFunctions.AppendNative(),"Method"
DummyForGlobalFunctions.AppendNewToTop(),"Method"
DummyForGlobalFunctions.AppendObject(),"Method"
DummyForGlobalFunctions.AppendToBottom(),"Method"
DummyForGlobalFunctions.AppendToTop(),"Method"
DummyForGlobalFunctions.AppendUTF8toUTF16(),"Method"
DummyForGlobalFunctions.ApplyContentConversions(),"Method"
DummyForGlobalFunctions.ApplyMinMaxConstraints(),"Method"
DummyForGlobalFunctions.ApplyUpdate(ProblemType *,ProblemType *,ProblemType *,ProblemType *,int,char * *),"Method"
DummyForGlobalFunctions.AreLayersMarkedActive(),"Method"
DummyForGlobalFunctions.AssertCurrentThreadOwns(),"Method"
DummyForGlobalFunctions.AssertIOThread(),"Method"
DummyForGlobalFunctions.AssertNotCurrentThreadOwns(),"Method"
DummyForGlobalFunctions.AssertWorkerThread(),"Method"
DummyForGlobalFunctions.Assign(),"Method"
DummyForGlobalFunctions.AssignASCII(),"Method"
DummyForGlobalFunctions.AssignLiteral(),"Method"
DummyForGlobalFunctions.AsyncAbort(),"Method"
DummyForGlobalFunctions.AsyncCall(),"Method"
DummyForGlobalFunctions.AsyncConvertData(),"Method"
DummyForGlobalFunctions.AsyncOpen(),"Method"
DummyForGlobalFunctions.AsyncOpenCacheEntry(),"Method"
DummyForGlobalFunctions.AsyncPromptAuth(),"Method"
DummyForGlobalFunctions.AsyncRead(),"Method"
DummyForGlobalFunctions.AsyncResolve(),"Method"
DummyForGlobalFunctions.AtEnd(),"Method"
DummyForGlobalFunctions.AttemptCompilation(ProblemType *,ProblemType *,ProblemType *,ProblemType *,ProblemType),"Method"
DummyForGlobalFunctions.AttemptToExtendTree(),"Method"
DummyForGlobalFunctions.AttemptToStabilizeTree(),"Method"
DummyForGlobalFunctions.AuthCache(),"Method"
